rank,name,confed,off,def,spi
48,Scotland,UEFA,1.7,0.94,62.53
49,Tunisia,CAF,1.77,0.99,62.52
50,Greece,UEFA,1.44,0.73,61.9
51,Romania,UEFA,1.57,0.88,60.95
52,Mali,CAF,1.42,0.78,60.27
53,South Africa,CAF,1.55,0.91,59.78
54,Cameroon,CAF,1.49,0.87,59.45
55,Qatar,AFC,1.7,1.12,58.15
56,Finland,UEFA,1.5,0.95,57.8
57,Northern Ireland,UEFA,1.39,0.86,57.48
58,Rep of Ireland,UEFA,1.38,0.86,57.44
59,Zambia,CAF,1.51,1.04,55.84
60,Hungary,UEFA,1.55,1.09,55.73
61,Israel,UEFA,1.68,1.22,55.47
62,Congo DR,CAF,1.51,1.07,55.35
63,Slovenia,UEFA,1.36,0.93,55.26
64,Uzbekistan,AFC,1.28,0.86,55.05
65,Bolivia,CONMEBOL,1.5,1.08,54.81
66,Montenegro,UEFA,1.46,1.07,53.96
67,Canada,CONCACAF,1.5,1.12,53.84
68,Saudi Arabia,AFC,1.46,1.09,53.82
69,Burkina Faso,CAF,1.38,1.01,53.67
70,Guinea,CAF,1.48,1.11,53.48
71,Honduras,CONCACAF,1.52,1.18,52.86
72,Georgia,UEFA,1.38,1.05,52.69
73,Angola,CAF,1.25,0.95,52.2
74,Haiti,CONCACAF,1.48,1.18,52.04
75,Bulgaria,UEFA,1.37,1.07,51.96
76,Belarus,UEFA,1.32,1.02,51.91
77,Iraq,AFC,1.31,1.02,51.74
78,Syria,AFC,1.5,1.21,51.74
79,FYR Macedonia,UEFA,1.36,1.08,51.7
80,Zimbabwe,CAF,1.47,1.25,50.15
81,Panama,CONCACAF,1.34,1.12,50.15
82,Kosovo,UEFA,1.37,1.17,49.81
83,Tanzania,CAF,1.49,1.29,49.77
84,Libya,CAF,1.39,1.25,48.35
85,Kenya,CAF,1.16,1.02,48.08
86,China PR,AFC,1.23,1.09,48.02
87,Armenia,UEFA,1.52,1.48,46.32
88,Gabon,CAF,1.05,0.99,45.9
89,Uganda,CAF,0.99,0.93,45.71
90,New Zealand,OFC,1.28,1.29,44.99
91,Cape Verde Islands,CAF,1.14,1.14,44.74
92,Albania,UEFA,1.13,1.14,44.46
93,Jamaica,CONCACAF,1.31,1.36,44.05
94,El Salvador,CONCACAF,1.22,1.27,43.84
95,Bahrain,AFC,1.02,1.09,42.92
96,Congo,CAF,1.34,1.45,42.81
97,Burundi,CAF,0.99,1.07,42.43
98,Oman,AFC,0.99,1.09,42.21
99,Curacao,CONCACAF,1.35,1.51,42.11
100,Guatemala,CONCACAF,1.37,1.53,42.08
101,Togo,CAF,1.14,1.29,41.5
102,Cuba,CONCACAF,0.97,1.1,41.33
103,Benin,CAF,1.21,1.41,40.85
104,Trinidad and Tobago,CONCACAF,1.23,1.45,40.54
105,Jordan,AFC,0.86,1.03,39.96
106,Estonia,UEFA,0.98,1.21,39.1
107,Equatorial Guinea,CAF,1.07,1.34,38.88
108,Kazakhstan,UEFA,1.18,1.46,38.83
109,Namibia,CAF,0.69,0.9,37.98
110,Madagascar,CAF,1.13,1.46,37.89
111,Cyprus,UEFA,1.06,1.41,37.25
112,Botswana,CAF,0.81,1.09,37.2
113,United Arab Emirates,AFC,0.86,1.17,36.7
114,Gambia,CAF,1.02,1.39,36.66
115,Liberia,CAF,1.18,1.59,36.5
116,Mauritania,CAF,1.13,1.53,36.29
117,Guinea-Bissau,CAF,1.12,1.58,35.2
118,Malawi,CAF,0.54,0.83,34.99
119,Kuwait,AFC,0.83,1.23,34.68
120,Moldova,UEFA,0.93,1.37,34.64
121,Lebanon,AFC,0.67,1.04,34.13
122,Dominican Republic,CONCACAF,1.18,1.72,34.01
123,Chad,CAF,1.02,1.52,33.82
124,Luxembourg,UEFA,1.04,1.57,33.5
125,Mozambique,CAF,1.0,1.53,33.29
126,Azerbaijan,UEFA,0.91,1.41,33.29
127,Bermuda,CONCACAF,1.25,1.88,32.73
128,Ethiopia,CAF,0.72,1.21,32.29
129,Nicaragua,CONCACAF,1.01,1.6,32.21
130,Sierra Leone,CAF,1.07,1.72,31.44
131,St. Kitts and Nevis,CONCACAF,1.07,1.73,31.37
132,Lithuania,UEFA,1.02,1.66,31.29
133,Rwanda,CAF,0.7,1.23,31.11
134,Palestine,AFC,0.81,1.43,30.38
135,Sudan,CAF,0.77,1.38,30.24
136,Niger,CAF,0.92,1.6,30.24
137,Central African Republic,CAF,1.06,1.85,29.14
138,Latvia,UEFA,0.86,1.58,29.12
139,North Korea,AFC,0.98,1.76,28.79
140,Comoros,CAF,0.99,1.81,28.17
141,Kyrgyzstan,AFC,0.79,1.52,28.14
142,Antigua and Barbuda,CONCACAF,1.1,2.0,27.81
143,Vietnam,AFC,0.76,1.52,27.48
144,Thailand,AFC,0.99,1.86,27.4
145,Lesotho,CAF,0.58,1.32,26.34
146,Fiji,OFC,0.69,1.5,26.09
147,Belize,CONCACAF,0.83,1.76,25.19
148,Turkmenistan,AFC,0.81,1.75,25.07
149,Suriname,CONCACAF,0.76,1.71,24.52
150,Faroe Islands,UEFA,0.78,1.82,23.32
151,Guyana,CONCACAF,1.08,2.28,23.27
152,Martinique,CONCACAF,0.81,1.88,23.2
153,Solomon Islands,OFC,0.69,1.71,22.71
154,Swaziland,CAF,0.52,1.48,21.96
155,Barbados,CONCACAF,0.52,1.51,21.62
156,New Caledonia,OFC,0.69,1.85,20.92
157,Puerto Rico,CONCACAF,0.75,1.96,20.79
158,Mauritius,CAF,0.81,2.13,19.85
159,Tahiti,OFC,0.81,2.15,19.56
160,India,AFC,0.6,1.8,19.41
161,Hong Kong,AFC,0.44,1.52,19.38
162,Vanuatu,OFC,0.7,1.97,19.37
163,Philippines,AFC,0.74,2.08,18.96
164,Tajikistan,AFC,0.69,2.0,18.76
165,Dominica,CONCACAF,0.47,1.66,18.28
166,South Sudan,CAF,0.79,2.28,17.64
167,St. Lucia,CONCACAF,0.64,2.04,17.39
168,Malta,UEFA,0.63,2.02,17.36
169,Sao Tome and Principe,CAF,0.82,2.36,17.22
170,Singapore,AFC,0.48,1.77,17.17
171,Indonesia,AFC,0.6,2.02,16.71
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Yemen,AFC,0.37,1.69,15.36
174,St. Vincent and the Grenadines,CONCACAF,0.72,2.37,15.29
175,Liechtenstein,UEFA,0.64,2.23,15.21
176,Gibraltar,UEFA,0.53,2.11,14.21
177,Malaysia,AFC,0.49,2.09,13.82
178,Seychelles,CAF,0.5,2.19,12.92
179,Afghanistan,AFC,0.6,2.62,10.96
180,Andorra,UEFA,0.24,1.86,10.78
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Montserrat,CONCACAF,0.81,3.24,9.65
183,Cayman Islands,CONCACAF,0.4,2.41,9.43
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Myanmar,AFC,0.39,2.5,8.72
186,Nepal,AFC,0.2,2.08,8.22
187,Chinese Taipei,AFC,0.43,2.69,8.04
188,Bahamas,CONCACAF,0.73,3.44,7.5
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.52,3.18,6.57
191,Somalia,CAF,0.4,3.14,5.39
192,Djibouti,CAF,0.44,3.33,5.03
193,Bangladesh,AFC,0.2,2.67,5.0
194,Mongolia,AFC,0.32,3.05,4.84
195,San Marino,UEFA,0.27,3.07,4.2
196,British Virgin Islands,CONCACAF,0.42,3.62,3.88
197,Bonaire,CONCACAF,0.37,3.59,3.5
198,Cambodia,AFC,0.28,3.52,3.01
199,Turks and Caicos Islands,CONCACAF,0.68,4.76,2.75
200,Guadeloupe,CONCACAF,0.2,3.49,2.47
201,Anguilla,CONCACAF,0.36,4.03,2.41
202,Pakistan,AFC,0.23,3.74,2.18
203,Brunei,AFC,0.25,3.86,2.05
204,Bhutan,AFC,0.27,4.03,1.94
205,US Virgin Islands,CONCACAF,0.38,4.38,1.93
206,Sri Lanka,AFC,0.22,4.1,1.53
207,Laos,AFC,0.26,4.38,1.39
208,Timor-Leste,AFC,0.3,4.85,1.05
209,Guam,AFC,0.29,5.04,0.88
210,St. Martin,CONCACAF,0.23,4.89,0.81
211,Sint Maarten,CONCACAF,0.21,4.93,0.74
212,Tuvalu,OFC,0.38,5.62,0.7
213,Macau,AFC,0.2,5.75,0.34
214,Samoa,OFC,0.2,5.78,0.34
215,Tonga,OFC,0.2,6.08,0.26
